E0219 12:35:44.168223 1144781 buffer_comparator.cc:145] Difference at 4137: 0, expected 1.67064
2026-02-19 12:35:44.220964: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1165] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0219 12:35:44.762137 1144781 buffer_comparator.cc:145] Difference at 4128: 0, expected 0.947758
E0219 12:35:44.762204 1144781 buffer_comparator.cc:145] Difference at 4129: 0, expected 0.851241
E0219 12:35:44.762211 1144781 buffer_comparator.cc:145] Difference at 4130: 0, expected 1.45805
E0219 12:35:44.762218 1144781 buffer_comparator.cc:145] Difference at 4131: 0, expected 1.7303
E0219 12:35:44.762224 1144781 buffer_comparator.cc:145] Difference at 4132: 0, expected 0.889891
E0219 12:35:44.762230 1144781 buffer_comparator.cc:145] Difference at 4133: 0, expected 1.57887
E0219 12:35:44.762236 1144781 buffer_comparator.cc:145] Difference at 4134: 0, expected 0.335785
E0219 12:35:44.762242 1144781 buffer_comparator.cc:145] Difference at 4135: 0, expected 1.81315
E0219 12:35:44.762248 1144781 buffer_comparator.cc:145] Difference at 4136: 0, expected 0.951322
E0219 12:35:44.762254 1144781 buffer_comparator.cc:145] Difference at 4137: 0, expected 1.67064
2026-02-19 12:35:44.814342: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1165] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0219 12:35:45.340192 1144781 buffer_comparator.cc:145] Difference at 4128: 0, expected 0.947758
E0219 12:35:45.340249 1144781 buffer_comparator.cc:145] Difference at 4129: 0, expected 0.851241
E0219 12:35:45.340256 1144781 buffer_comparator.cc:145] Difference at 4130: 0, expected 1.45805
E0219 12:35:45.340261 1144781 buffer_comparator.cc:145] Difference at 4131: 0, expected 1.7303
E0219 12:35:45.340266 1144781 buffer_comparator.cc:145] Difference at 4132: 0, expected 0.889891
E0219 12:35:45.340271 1144781 buffer_comparator.cc:145] Difference at 4133: 0, expected 1.57887
E0219 12:35:45.340276 1144781 buffer_comparator.cc:145] Difference at 4134: 0, expected 0.335785
E0219 12:35:45.340281 1144781 buffer_comparator.cc:145] Difference at 4135: 0, expected 1.81315
E0219 12:35:45.340286 1144781 buffer_comparator.cc:145] Difference at 4136: 0, expected 0.951322
E0219 12:35:45.340291 1144781 buffer_comparator.cc:145] Difference at 4137: 0, expected 1.67064
2026-02-19 12:35:45.389011: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1165] Results do not match the reference. This is likely a bug/unexpected loss of precision.
